245968	漳州市交通建设投资开发有限公司	招标人:漳州市交通建设投资开发有限公司	招标人/n/N :/x/N 漳州市/ns/Y 交通/n/Y 建设/vn/Y 投资/vn/Y 开发/v/Y 有限公司/n/Y
713242	国家电网公司	国家电网公司输变电项目2013年第二批货物集中招标--通信设备集成及新建通信网设备包1	国家电网/nz/Y 公司/n/Y 输变电/l/N 项目/n/N 2013/m/N 年/m/N 第二批/m/N 货物/n/N 集中/v/N 招标/n/N -/x/N -/x/N 通信/j/N 设备/vn/N 集成/v/N 及/c/N 新建/ns/N 通信网/nt/N 设备/vn/N 包/v/N 1/m/N
1429841	国家发展改革委员会	2008年5月12日,本公司正式收到经国家发展改革委员会和国家财政部确认的“高效照明产品推广项目中标协议书”,并于2008年5月13日收到“国家发展改革委、财政部关于下达财政补贴高效照明产品推广任务(第一批)的通知”	2008/m/N 年/m/N 5/m/N 月/m/N 12/m/N 日/m/N ,/x/N 本/r/N 公司/n/N 正式/ad/N 收到/v/N 经/n/N 国家/n/Y 发展/vn/Y 改革/vn/Y 委员会/n/Y 和/c/N 国家财政部/nt/N 确认/v/N 的/uj/N “/x/N 高效/a/N 照明/v/N 产品/n/N 推广/v/N 项目/n/N 中标/n/N 协议书/n/N ”/x/N ,/x/N 并于/c/N 2008/m/N 年/m/N 5/m/N 月/m/N 13/m/N 日/m/N 收到/v/N “/x/N 国家/n/N 发展/vn/N 改革/vn/N 委/zg/N 、/x/N 财政部/nt/N 关于/p/N 下达/v/N 财政补贴/n/N 高效/a/N 照明/v/N 产品/n/N 推广/v/N 任务/n/N (/x/N 第一批/m/N )/x/N 的/uj/N 通知/v/N ”/x/N
16244894	中国光大银行	珠海汇金科技股份有限公司(以下简称“公司”)于2017年6月1日收到受中国光大银行委托实施公开招标的中招国际招标有限公司下发的《中标通知书》(编号:TC17091ED-ZB-01),在中国光大银行动态密码锁选型入围项目(招标编号:TC17091ED)的招标中,经过评标委员会评审,确定公司中标	珠海/ns/N 汇金/n/N 科技股份/n/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 公司/n/N ”/x/N )/x/N 于/p/N 2017/m/N 年/m/N 6/m/N 月/m/N 1/m/N 日/m/N 收到/v/N 受/v/N 中国光大银行/nt/Y 委托/n/N 实施/v/N 公开招标/n/N 的/uj/N 中招/j/N 国际/n/N 招标/n/N 有限公司/n/N 下发/v/N 的/uj/N 《/x/N 中标/n/N 通知书/nr/N 》/x/N (/x/N 编号/n/N :/x/N TC17091ED/eng/N -/x/N ZB/eng/N -/x/N 01/m/N )/x/N ,/x/N 在/p/N 中国光大银行/nt/N 动态/n/N 密码锁/n/N 选型/n/N 入围/v/N 项目/n/N (/x/N 招标/n/N 编号/n/N :/x/N TC17091ED/eng/N )/x/N 的/uj/N 招标/n/N 中/f/N ,/x/N 经过/p/N 评标/n/N 委员会/n/N 评审/vn/N ,/x/N 确定/v/N 公司/n/N 中标/n/N
16244894	中国光大银行	公司将尽快与中国光大银行签订正式合同,项目具体内容以最终签署的合同为准	公司/n/N 将/d/N 尽快/d/N 与/p/N 中国光大银行/nt/Y 签订/v/N 正式/ad/N 合同/a/N ,/x/N 项目/n/N 具体内容/n/N 以/p/N 最终/d/N 签署/v/N 的/uj/N 合同/a/N 为准/v/N
15882236	恒逸实业(文莱)有限公司	近日,洛阳隆华传热节能股份有限公司(以下简称“公司”)与恒逸实业(文莱)有限公司签订了《恒逸(文莱)PMB石油化工项目复合空冷器买卖合同》(以下统称	近日/t/N ,/x/N 洛阳/ns/N 隆华/nr/N 传热/v/N 节能/v/N 股份/n/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 公司/n/N ”/x/N )/x/N 与/p/N 恒/nr/Y 逸/vg/Y 实业/n/Y (/x/Y 文莱/nr/Y )/x/Y 有限公司/n/Y 签订/v/N 了/ul/N 《/x/N 恒/nr/N 逸/vg/N (/x/N 文莱/nr/N )/x/N PMB/eng/N 石油化工/n/N 项目/n/N 复合/v/N 空/n/N 冷器/n/N 买卖合同/n/N 》/x/N (/x/N 以下/f/N 统称/v/N
15882236	恒逸实业(文莱)有限公司	恒逸实业(文莱)有限公司有较强的履约能力	恒/nr/Y 逸/vg/Y 实业/n/Y (/x/Y 文莱/nr/Y )/x/Y 有限公司/n/Y 有/v/N 较强/a/N 的/uj/N 履约/v/N 能力/n/N
15882236	恒逸实业(文莱)有限公司	买方:恒逸实业(文莱)有限公司	买方/n/N :/x/N 恒/nr/Y 逸/vg/Y 实业/n/Y (/x/Y 文莱/nr/Y )/x/Y 有限公司/n/Y
345923	阳光盛和(济南)投资有限公司	公司控股子公司山东永安房地产开发有限公司(简称“永安房地产”),近期拟分别与阳光人寿保险股份有限公司(简称“阳光人寿”)的全资子公司阳光盛和(济南)投资有限公司(简称“阳光盛和”)、阳光财产保险股份有限公司(简称“阳光财险”)签署商品房买卖合同,出售龙奥天街项目主办公楼部分楼层商品房及停车位,合同金额分别约为4.6亿元、1.66亿元,合同金额总计约为人民币6.26亿元	公司/n/N 控股/v/N 子公司/n/N 山东/ns/N 永安/ns/N 房地产/j/N 开发/v/N 有限公司/n/N (/x/N 简称/v/N “/x/N 永安/ns/N 房地产/j/N ”/x/N )/x/N ,/x/N 近期/t/N 拟/v/N 分别/d/N 与/p/N 阳光/nr/N 人寿保险/n/N 股份/n/N 有限公司/n/N (/x/N 简称/v/N “/x/N 阳光/nr/N 人寿/n/N ”/x/N )/x/N 的/uj/N 全资/n/N 子公司/n/N 阳光/nr/Y 盛和/nr/Y (/x/Y 济南/ns/Y )/x/Y 投资/vn/Y 有限公司/n/Y (/x/N 简称/v/N “/x/N 阳光/nr/N 盛和/nr/N ”/x/N )/x/N 、/x/N 阳光/nr/N 财产保险/n/N 股份/n/N 有限公司/n/N (/x/N 简称/v/N “/x/N 阳光/nr/N 财险/n/N ”/x/N )/x/N 签署/v/N 商品房/n/N 买卖合同/n/N ,/x/N 出售/vn/N 龙奥/nr/N 天街/ns/N 项目/n/N 主/b/N 办公楼/n/N 部分/n/N 楼层/n/N 商品房/n/N 及/c/N 停车位/n/N ,/x/N 合同/a/N 金额/n/N 分别/d/N 约/d/N 为/p/N 4.6/m/N 亿元/m/N 、/x/N 1.66/m/N 亿元/m/N ,/x/N 合同/a/N 金额/n/N 总计/n/N 约/d/N 为/p/N 人民币/n/N 6.26/m/N 亿元/m/N
4932943	TosyaliIronSteelIndustryAlgerieSPA公司	近期,中钢国际工程技术股份有限公司(以下简称“公司”)全资子公司中钢设备有限公司与TosyaliIronSteelIndustryAlgerieSPA公司签署了年产400万吨球团项目EPC总承包合同,项目主要建设内容包括年产400万吨球团厂及相应配套公辅设施的设计、供货、施工、试车工作	近期/t/N ,/x/N 中/f/N 钢/n/N 国际/n/N 工程技术/n/N 股份/n/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 公司/n/N ”/x/N )/x/N 全资/n/N 子公司/n/N 中/f/N 钢/n/N 设备/vn/N 有限公司/n/N 与/p/N TosyaliIronSteelIndustryAlgerieSPA/eng/Y 公司/n/Y 签署/v/N 了/ul/N 年产/j/N 400/m/N 万吨/m/N 球团/n/N 项目/n/N EPC/eng/N 总/n/N 承包合同/n/N ,/x/N 项目/n/N 主要/b/N 建设/vn/N 内容/n/N 包括/v/N 年产/j/N 400/m/N 万吨/m/N 球团/n/N 厂/n/N 及/c/N 相应/v/N 配套/a/N 公辅/n/N 设施/n/N 的/uj/N 设计/vn/N 、/x/N 供货/n/N 、/x/N 施工/vn/N 、/x/N 试车/n/N 工作/vn/N
33310	永兴县环境保护局	2012年1月10日,本公司控股子公司湖南永清环境修复有限公司(原名“湖南永清盛世环保有限公司”,以下简称“永清修复”或“乙方”)与永兴县环境保护局(以下简称“甲方”)签订了《永兴县工业固体废物污染环境修复技术示范项目承包合同》(以下简称“《承包合同》”)	2012/m/N 年/m/N 1/m/N 月/m/N 10/m/N 日/m/N ,/x/N 本/r/N 公司/n/N 控股/v/N 子公司/n/N 湖南/ns/N 永清/nr/N 环境/n/N 修复/v/N 有限公司/n/N (/x/N 原名/n/N “/x/N 湖南/ns/N 永清/nr/N 盛世/nr/N 环保/j/N 有限公司/n/N ”/x/N ,/x/N 以下/f/N 简称/v/N “/x/N 永清/nr/N 修复/v/N ”/x/N 或/c/N “/x/N 乙方/n/N ”/x/N )/x/N 与/p/N 永兴县/ns/Y 环境保护局/n/Y (/x/N 以下/f/N 简称/v/N “/x/N 甲方/n/N ”/x/N )/x/N 签订/v/N 了/ul/N 《/x/N 永兴县/ns/N 工业/n/N 固体废物/l/N 污染环境/n/N 修复/v/N 技术/n/N 示范/v/N 项目/n/N 承包合同/n/N 》/x/N (/x/N 以下/f/N 简称/v/N “/x/N 《/x/N 承包合同/n/N 》/x/N ”/x/N )/x/N
33310	永兴县环境保护局	永兴县环境保护局最近三个会计年度与本公司发生类似业务的金额:	永兴县/ns/Y 环境保护局/n/Y 最近/f/N 三个/m/N 会计年度/n/N 与/p/N 本/r/N 公司/n/N 发生/v/N 类似/v/N 业务/n/N 的/uj/N 金额/n/N :/x/N
33310	永兴县环境保护局	永兴县环境保护局属于政府机关,具有较强的履约能力,与我公司无关联关系	永兴县/ns/Y 环境保护局/n/Y 属于/v/N 政府/n/N 机关/n/N ,/x/N 具有/v/N 较强/a/N 的/uj/N 履约/v/N 能力/n/N ,/x/N 与/p/N 我/r/N 公司/n/N 无/v/N 关联/ns/N 关系/n/N
16313545	金溪县城市管理局	2017年6月22日,金溪县城市管理局发布中标候选人公示,确定上海巴安水务股份有限公司(以下简称“公司”)全资子公司江苏巴安建设工程有限公司(以下简称“巴安建设”)与江西省煤矿设计院组成的联合体为“金溪县城区及高新园区雨污水管网优化提升建设项目工程设计施工总承包(EPC)”的第一中标候选人	2017/m/N 年/m/N 6/m/N 月/m/N 22/m/N 日/m/N ,/x/N 金溪县/nr/Y 城市/ns/Y 管理局/n/Y 发布/v/N 中标/n/N 候选人/n/N 公示/v/N ,/x/N 确定/v/N 上海/ns/N 巴安/ns/N 水务/n/N 股份/n/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 公司/n/N ”/x/N )/x/N 全资/n/N 子公司/n/N 江苏/ns/N 巴安/ns/N 建设工程/n/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 巴安/ns/N 建设/vn/N ”/x/N )/x/N 与/p/N 江西省/ns/N 煤矿/n/N 设计院/n/N 组成/v/N 的/uj/N 联合体/nt/N 为/p/N “/x/N 金溪县/nr/N 城区/n/N 及/c/N 高新/d/N 园区/n/N 雨/n/N 污水/n/N 管网/n/N 优化/vn/N 提升/v/N 建设项目/n/N 工程设计/n/N 施工/vn/N 总/b/N 承包/v/N (/x/N EPC/eng/N )/x/N ”/x/N 的/uj/N 第一/m/N 中标/n/N 候选人/n/N
16866055	锡林浩特市园林绿化管理局	内蒙古蒙草生态环境(集团)股份有限公司(以下简称“公司”)近期参与了2017年锡林浩特市园林绿化工程PPP项目(以下简称“本项目”或“本工程”)的投标,该项目招标单位为锡林浩特市园林绿化管理局,根据锡林郭勒盟政府服务和公共资源交易网(http://www.xmzwggzy.com/)2017年11月6日发布的《2017年锡林浩特市园林绿化工程PPP项目公开招标中标公示》,内蒙古蒙草生态环境(集团)股份有限公司(联合体其他成员为:金柏生态环境股份有限公司)为预成交供应商,具体情况如下	内蒙古/ns/N 蒙草/nz/N 生态环境/l/N (/x/N 集团/n/N )/x/N 股份/n/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 公司/n/N ”/x/N )/x/N 近期/t/N 参与/v/N 了/ul/N 2017/m/N 年/m/N 锡林浩特市/ns/N 园林绿化/n/N 工程/n/N PPP/eng/N 项目/n/N (/x/N 以下/f/N 简称/v/N “/x/N 本/r/N 项目/n/N ”/x/N 或/c/N “/x/N 本/r/N 工程/n/N ”/x/N )/x/N 的/uj/N 投标/n/N ,/x/N 该/r/N 项目/n/N 招标/n/N 单位/n/N 为/p/N 锡林浩特市/ns/Y 园林绿化/n/Y 管理局/n/Y ,/x/N 根据/p/N 锡林郭勒盟/ns/N 政府/n/N 服务/vn/N 和/c/N 公共资源/n/N 交易网/n/N (/x/N http/eng/N :/x/N //x/N //x/N www/eng/N ./m/N xmzwggzy/eng/N ./m/N com/eng/N //x/N )/x/N 2017/m/N 年/m/N 11/m/N 月/m/N 6/m/N 日/m/N 发布/v/N 的/uj/N 《/x/N 2017/m/N 年/m/N 锡林浩特市/ns/N 园林绿化/n/N 工程/n/N PPP/eng/N 项目/n/N 公开招标/n/N 中标/n/N 公示/v/N 》/x/N ,/x/N 内蒙古/ns/N 蒙草/nz/N 生态环境/l/N (/x/N 集团/n/N )/x/N 股份/n/N 有限公司/n/N (/x/N 联合体/nt/N 其他/r/N 成员/n/N 为/p/N :/x/N 金柏/nr/N 生态环境/l/N 股份/n/N 有限公司/n/N )/x/N 为/p/N 预/v/N 成交/v/N 供应商/n/N ,/x/N 具体情况/l/N 如下/t/N
16866055	锡林浩特市园林绿化管理局	4、项目招标人:锡林浩特市园林绿化管理局;	4/x/N 、/x/N 项目/n/N 招标人/n/N :/x/N 锡林浩特市/ns/Y 园林绿化/n/Y 管理局/n/Y ;/x/N
18760283	北海市城市建设投资发展有限公司	该项目招标人为北海市城市建设投资发展有限公司	该/r/N 项目/n/N 招标人/n/N 为/p/N 北海市/ns/Y 城市/ns/Y 建设/vn/Y 投资/vn/Y 发展/vn/Y 有限公司/n/Y
16803913	科尔沁右翼前旗园林管理所	内蒙古蒙草生态环境(集团)股份有限公司(以下简称“公司”)近日收到科尔沁右翼前旗园林管理所发来的《中标通知书》,确认公司为科尔沁右翼前旗科尔沁镇城北路绿化升级改造工程(以下简称“本项目”)的中标人	内蒙古/ns/N 蒙草/nz/N 生态环境/l/N (/x/N 集团/n/N )/x/N 股份/n/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 公司/n/N ”/x/N )/x/N 近日/t/N 收到/v/N 科尔沁右翼前旗/ns/Y 园林管理/n/Y 所/c/Y 发来/v/N 的/uj/N 《/x/N 中标/n/N 通知书/nr/N 》/x/N ,/x/N 确认/v/N 公司/n/N 为/p/N 科尔沁右翼前旗/ns/N 科尔沁/nr/N 镇/n/N 城北/s/N 路/n/N 绿化/n/N 升级/vn/N 改造/v/N 工程/n/N (/x/N 以下/f/N 简称/v/N “/x/N 本/r/N 项目/n/N ”/x/N )/x/N 的/uj/N 中标人/n/N
16803913	科尔沁右翼前旗园林管理所	3、项目招标人:科尔沁右翼前旗园林管理所;	3/x/N 、/x/N 项目/n/N 招标人/n/N :/x/N 科尔沁右翼前旗/ns/Y 园林管理/n/Y 所/c/Y ;/x/N
42746	国家电网公司	2012年3月5日国家电网公司电子商务平台(https://ecp.sgcc.com.cn)公布了“国家电网公司输变电项目2012年第一批线路材料招标活动-推荐的中标候选人公示”,并于2012年3月8日公布了各单项中标公告	2012/m/N 年/m/N 3/m/N 月/m/N 5/m/N 日/m/N 国家电网/nz/Y 公司/n/Y 电子商务/n/N 平台/n/N (/x/N https/eng/N :/x/N //x/N //x/N ecp/eng/N ./m/N sgcc/eng/N ./m/N com/eng/N ./m/N cn/eng/N )/x/N 公布/v/N 了/ul/N “/x/N 国家电网/nz/N 公司/n/N 输变电/l/N 项目/n/N 2012/m/N 年/m/N 第一批/m/N 线路/n/N 材料/n/N 招标/n/N 活动/vn/N -/x/N 推荐/v/N 的/uj/N 中标/n/N 候选人/n/N 公示/v/N ”/x/N ,/x/N 并于/c/N 2012/m/N 年/m/N 3/m/N 月/m/N 8/m/N 日/m/N 公布/v/N 了/ul/N 各单项/b/N 中标/n/N 公告/n/N
42746	国家电网公司	国家电网此次招标共计12个招标项目,我公司为“国家电网公司输变电项目500(330)kV角钢塔2012年第一批招标活动(招标编号:0711-12OTL00102002)”的中标人,共中1个包,中标角钢塔合计2,407.56吨,中标价合计人民币约1,877.90万元,约占本公司2011年营业收入的4.76%,现将相关情况提示如下:	国家电网/nz/N 此次/r/N 招标/n/N 共计/v/N 12/m/N 个/m/N 招标/n/N 项目/n/N ,/x/N 我/r/N 公司/n/N 为/p/N “/x/N 国家电网/nz/Y 公司/n/Y 输变电/l/N 项目/n/N 500/m/N (/x/N 330/m/N )/x/N kV/eng/N 角钢/n/N 塔/ns/N 2012/m/N 年/m/N 第一批/m/N 招标/n/N 活动/vn/N (/x/N 招标/n/N 编号/n/N :/x/N 0711/m/N -/x/N 12/m/N OTL00102002/eng/N )/x/N ”/x/N 的/uj/N 中标人/n/N ,/x/N 共中/d/N 1/m/N 个/m/N 包/v/N ,/x/N 中标/n/N 角钢/n/N 塔/j/N 合计/vn/N 2/x/N ,/x/N 407.56/m/N 吨/m/N ,/x/N 中/f/N 标价/n/N 合计/vn/N 人民币/n/N 约/d/N 1/m/N ,/x/N 877.90/m/N 万元/m/N ,/x/N 约/d/N 占/v/N 本/r/N 公司/n/N 2011/m/N 年/m/N 营业/n/N 收入/v/N 的/uj/N 4.76/m/N %/x/N ,/x/N 现/tg/N 将/d/N 相关/v/N 情况/n/N 提示/v/N 如下/t/N :/x/N
