"Label","ID","Date","Events"
44,172,"1903 January 17","El Yunque National Forest in Puerto Rico becomes part of the United States National Forest System, as the Luquillo Forest Reserve."
2,173,"1903 February 11","The Oxnard strike of 1903 becomes the first time in U.S. history, that a labor union is formed from members of different races."
22,174,"1903 February 13","Venezuelan crisis: After agreeing to arbitration in Washington, Britain, Germany and Italy reach a settlement with Venezuela, resulting in the Washington Protocols. The naval blockade that began in 1902 will end."
29,175,"1903 March 2","In New York City, the Martha Washington Hotel, the first hotel exclusively for women, opens."
18,176,"1903 March 3","The British Admiralty announces plans to build a naval base at Rosyth."
41,177,"1903 March 4","The BeÌªiktaÌª J.K. multi-sport club is founded, in the Ottoman Empire."
34,178,"1903 March 5","The Ottoman Empire and the German Empire sign an agreement, to build the Constantinople‰Û¡Ì_ÌÕBaghdad Railway."
41,179,"1903 March 12","The University of Puerto Rico is founded."
40,180,"1903 April 26","Atletico Madrid, a well known professional football club, is officially founded in Spain."
7,181,"1903 April 29","A 30-million-m3 landslide kills 70-90 in Frank, Alberta."
7,182,"1903 April 29","The 7.0 Ms Manzikert earthquake affects eastern Turkey, leaving 3,500 dead."
35,183,"1903 May 4","Leading Macedonian Bulgarian revolutionary Gotse Delchev is killed in a skirmish, with the Turkish army."
34,184,"1903 May 18","The port of Burgas, Bulgaria opens."
38,185,"1903 June 11 (May 29 O.S.)","Serbian King Alexander Obrenovi‰âÂÌÊ and Queen Draga are assassinated in Belgrade, by the Black Hand (Crna Ruka) organization."
6,186,"1903 June 14","The town of Heppner, Oregon is nearly destroyed by a cloud burst, that results in a flash flood, that kills an estimated 238 people."
25,187,"1903 July 1‰Û¡Ì_ÌÕ19","The first Tour de France bicycle race is held; Maurice Garin wins it."
31,188,"1903 July 7","The British take over the Fulani Empire."
27,189,"1903 July 23","Dr. Ernst Pfenning of Chicago becomes the first owner of a Ford Model A."
20,190,"1903 July 29","The explosion of a United States Cartridge Company magazine destroys 70 homes, killing 22 residents of Tewksbury, Massachusetts."
2,191,"1903 August 2","The Ilinden‰Û¡Ì_ÌÕPreobrazhenie Uprising, organized by the Secret Macedonian-Adrianople Revolutionary Organization, breaks out in the Ottoman provinces of Macedonia and Adrianople."
31,192,"1903 August 3","The KruÌÅevo Republic is proclaimed in Ottoman Macedonia; it is crushed 10 days later."
23,193,"1903 August 4","Pope Pius X succeeds Pope Leo XIII, as the 257th pope."
5,194,"1903 August 10","The Paris MÌÎå©tro train fire, at Couronnes, results in 84 deaths."
32,195,"1903 September","Texas State University in San Marcos, TX opens its doors, as Southwest Texas Normal School."
25,196,"1903 September 11","The first stock car event is held at the Milwaukee Mile."
23,197,"1903 September 14","Joseph Chamberlain resigns as British Colonial Secretary, in order to campaign publicly for Imperial Preference."
32,198,"1903 September 15","GrÌÎåÈmio Foot-Ball Porto Alegrense is founded in Porto Alegre, Brazil."
23,199,"1903 September 24","Edmund Barton steps down as Prime Minister of Australia, and is succeeded by Alfred Deakin."
20,200,"1903 September 27","The Wreck of the Old 97 Fast Mail train at Stillhouse Trestle, near Danville, Virginia, kills 11 people and inspires a ballad."
44,201,"1903 October","Frank Nelson Cole proves that 267-1 is composite, by factoring it as 193,707,721 * 761,838,257,287, after trying every Sunday for 3 years."
26,202,"1903 October 1-13","First modern World Series: The Boston Red Sox defeat the Pittsburgh Pirates, in 8 games."
17,203,"1903 October 6","The High Court of Australia sits for the first time."
31,204,"1903 November 3","With the encouragement of the United States, Panama proclaims itself independent of Colombia."
11,205,"1903 November 13","The United States recognizes the independence of Panama."
32,206,"1903 November 17","The Russian Social Democratic Labour Party splits into two groups: the Bolsheviks (Russian for ""majority"") and Mensheviks (Russian for ""minority"")."
11,207,"1903 November 18","The Hay‰Û¡Ì_ÌÕBunau-Varilla Treaty is signed by the United States and Panama, giving the U.S. exclusive rights over the Panama Canal Zone."
27,208,"1903 December 16","The Taj Mahal Palace Hotel in Bombay, India opens its doors to guests."
19,209,"1903 December 17","Orville Wright flies an aircraft with a petrol engine at Kitty Hawk, North Carolina, in the first documented, successful, controlled, powered, heavier-than-air flight."
5,210,"1903 December 30","The Iroquois Theatre fire in Chicago kills 600."
41,211,"1904 January 7","The distress signal CQD is established, only to be replaced 2 years later by SOS."
34,212,"1904 January 8","The Blackstone Library is dedicated, marking the beginning of the Chicago Public Library system."
27,213,"1904 January 12","Henry Ford sets a new automobile land speed record of 91.37 mph (147.05 km/h)."
25,214,"1904 January 16","The first large-scale bodybuilding competition in America takes place at Madison Square Garden in New York City."
2,215,"1904 January 18","The Herero Rebellion in German South-West Africa begins."
5,216,"1904 January 23","The ÌÎÌälesund Fire destroys most buildings in the town of ÌÎÌälesund, Norway, leaving about 10,000 people without shelter."
1,217,"1904 February 8‰Û¡Ì_ÌÕ9","Battle of Port Arthur: A surprise Japanese naval attack on Port Arthur (LÌÎ_shun) in Manchuria starts the Russo-Japanese War."
35,218,"1904 February 10","Roger Casement publishes his account of Belgian atrocities in the Congo."
41,219,"1904 February 17","Puccini's opera Madama Butterfly, with a background theme of Japan‰Û¡Ì_ÌÕUnited States relations, debuts at La Scala in Milan, to no great acclaim. On May 28 a revised version opens in Brescia, to huge success."
44,220,"1904 February 23","For $10 million, the United States gains control of the Panama Canal Zone."
23,221,"1904 March 3","Kaiser Wilhelm II of Germany becomes the first person to make a political recording of a document, using Thomas Edison's cylinder."
1,222,"1904 March 4","Russo-Japanese War: Russian troops in Korea retreat toward Manchuria, followed by 100,000 Japanese troops."
2,223,"1904 March 26","80,000 demonstrators gather in Hyde Park, London, to protest against the importation of Chinese labourers to South Africa, by the British government."
35,224,"1904 April 6","Joseph F. Smith announces the Second Manifesto in General Conference of The Church of Jesus Christ of Latter-day Saints, ending in fact the practice of plural marriage, which had continued to be practiced by many of its leaders, in violation of the 1890 Manifesto officially banning the practice."
22,225,"1904 April 8","The Entente Cordiale is signed between the UK and France."
41,226,"1904 April 8","Longacre Square in Midtown Manhattan is renamed Times Square, after The New York Times."
41,227,"1904 April 8","Aleister Crowley begins writing Liber Al vel Legis, better known as The Book of the Law, a text central to Thelema (he completes this task on April 10)."
5,228,"1904 April 19","The Great Toronto Fire destroys much of that city's downtown, but there are no fatalities."
42,229,"1904 April 27","The Australian Labor Party becomes the first such party to gain national government, under Chris Watson."
34,230,"1904 May 4","United States Army engineers begin work on the Panama Canal."
40,231,"1904 May 4","German football club FC Schalke 04 is established."
41,232,"1904 May 5","Pitching against the Philadelphia Athletics, Cy Young of the Boston Americans throws the first perfect game in the modern era of baseball."
1,233,"1904 May 5","British expedition to Tibet: Hundreds of Tibetans attack the British camp at Changlo, and hold the advantage for a while, before being defeated by superior weapons, and losing at least 200 men."
34,234,"1904 May 9","Great Western Railway of England 3700 Class 3440 City of Truro becomes the first railway locomotive to exceed 100 mph (probably)."
40,235,"1904 May 21","The International Federation of Association Football, FIFA, is established."
40,236,"1904 June 3","The International Alliance of Women is founded."
41,237,"1904 June 10","Irish author James Joyce meets his future wife, Nora Barnacle."
5,238,"1904 June 15","A fire aboard the steamboat General Slocum in New York City's East River kills 1,021."
35,239,"1904 June 16","Eugen Schauman assassinates Nikolai Bobrikov, Governor-General of Finland."
41,240,"1904 June 16","James Joyce walks to Ringsend with Nora Barnacle; he later uses this date (Bloomsday) as the setting for his novel Ulysses."
20,241,"1904 June 28","Danish ocean liner SS Norge runs aground and sinks close to Rockall, killing 635, including 225 Norwegian emigrants."
41,242,"1904 June 28","The original icon of Our Lady of Kazan is stolen, and subsequently destroyed in Russia."
40,243,"1904 June 28","English football club Hull City A.F.C. is established."
41,244,"1904 August 3","British expedition to Tibet: The British expedition under Colonel Francis Younghusband takes Lhasa, Tibet."
3,245,"1904 August 11","Battle of Waterberg: Lothar von Trotha defeats the Herero people in German South-West Africa, and drives them into the Omaheke desert, starting the Herero and Namaqua Genocide."
35,246,"1904 August 14","Ismael Montes becomes President of Bolivia."
1,247,"1904 August 17","Russo-Japanese War: A Japanese infantry charge fails to take Port Arthur."
35,248,"1904 August 18","Chris Watson resigns as Prime Minister of Australia, and is succeeded by George Reid."
41,249,"1904 September 2","The rigged dugout canoe Tilikum sails into the River Thames in England, after a 3-year voyage from Victoria, British Columbia westabout."
22,250,"1904 September 7","British expedition to Tibet: The Dalai Lama signs the Anglo-Tibetan Treaty, with Colonel Francis Younghusband."
35,251,"1904 September 25","The Church of Jesus Christ of Latter-day Saints President Joseph F. Smith issues a Second Manifesto against polygamy."
40,252,"1904 October 1","Phi Delta Epsilon, the international medical fraternity, is founded by Aaron Brown and 8 of his friends, at Cornell University Medical College."
40,253,"1904 October 4","Swedish football club IFK GÌÎå_teborg is founded, becoming the 39th IFK-association."
40,254,"1904 October 5","Alpha Kappa Psi, a co-ed professional business fraternity, is founded on the campus of New York University."
41,255,"1904 October 9","German journalist Anna RÌÎ_ling, in a speech to the Scientific-Humanitarian Committee in Berlin, makes the first known public statement of the socio-legal problems faced by lesbians."
40,256,"1904 October 15","Theta Tau, a professional engineering fraternity, is founded at the University of Minnesota in Minneapolis."
40,257,"1904 October 19","Polytechnic University of the Philippines is founded as Manila Business School, through the superintendence of American C.A. O'Reilley."
41,258,"1904 October 21","Russo-Japanese War ‰Û¡Ì_ÌÕ Dogger Bank incident: The Russian Baltic Fleet fires on British trawlers it mistakes for Japanese torpedo boats, in the North Sea."
34,259,"1904 October 27","The first underground line of the New York City Subway opens."
43,260,"1904 November 8","U.S. presidential election, 1904: Republican incumbent Theodore Roosevelt defeats Democrat Alton B. Parker."
41,261,"1904 November 16","The settlement at Grytviken, on the British South Atlantic island territory of South Georgia, is established by Norwegian sea captain Carl Anton Larsen, as a whaling station for his CompaÌÎå±ÌÎ_a Argentina de Pesca."
19,262,"1904 November 16","English engineer John Ambrose Fleming receives a patent for the thermionic valve (vacuum tube)."
2,263,"1904 December 2","The St. Petersburg Soviet urges a run on the banks; the attempt fails, and the executive committee is arrested."
19,264,"1904 December 3","Charles Dillon Perrine discovers Jupiter's largest irregular satellite, Himalia, at California's Lick Observatory."
42,265,"1904 December 4","The K.U. or Konservativ Ungdom (Young Conservatives) is founded by Carl F. Herman von Rosen in Denmark."
35,266,"1904 December 6","Theodore Roosevelt announces his ""Corollary"" to the Monroe Doctrine, stating that the United States will intervene in the Western Hemisphere, should Latin American governments prove incapable or unstable."
