Label	Events	ID	Date
3	"77 Uzbek prisoners of war held at Amersfoort concentration camp in the occupied Netherlands are shot by Nazi German guards, 24 of their compatriots having previously died there as a result of forced starvation."	4059	1942 April
1	"WWII: Japanese forces begin the last phase of the Battle of Bataan, an all-out assault on the United States and Filipino troops on the Bataan Peninsula."	4060	1942 April 3
41	WWII: Easter Sunday Raid ??? Aircraft of the Japanese Navy attack Colombo in Ceylon (Sri Lanka). Royal Navy cruisers HMS Cornwall and HMS Dorsetshire are sunk southwest of the island.	4061	1942 April 5
1	WWII:The Bataan Peninsula falls and the Bataan Death March begins.	4062	1942 April 9
41	WWII:The Japanese Navy launches an air raid on Trincomalee in Ceylon (Sri Lanka); the Royal Navy aircraft carrier HMS Hermes (95) and Royal Australian Navy destroyer HMAS Vampire are sunk off the country's East Coast.	4063	1942 April 9
27	Disney's Bambi was released in theaters everywhere.	4064	1942 April 12
34	The United States Federal Communications Commission's minimum programming time required of TV stations is cut from 15 hours to 4 hours a week during the war.	4065	1942 April 13
41	WWII: The submarine HMS Upholder is sunk.	4066	1942 April 14
41	WWII: The German submarine U-85 is sunk by USS Roper.	4067	1942 April 14
35	"WWII: Award of the George Cross to Malta: King George VI awards the George Cross to the island of Malta to mark the Siege of Malta, saying, ""To honour her brave people I award the George Cross to the Island Fortress of Malta, to bear witness to a heroism and a devotion that will long be famous in history"" (from January 1 to July 24, there is only one 24-hour period during which no bombs fall on this tiny island)."	4068	1942 April 15
35	"WWII: Henri Giraud the French commander captured in 1940, escapes from K?_nigstein Fortress."	4069	1942 April 17
41	"WWII: Tokyo, Japan, is attacked by the Doolittle Raid, a small force of B-25 Mitchell bomber aircraft commanded by then-Lieutenant Colonel James ""Jimmy"" Doolittle."	4070	1942 April 18
41	WWII: Exeter becomes the first historic English city bombed as part of the Baedeker Blitz in retaliation for the British bombing of L?_beck.	4071	1942 April 23
35	Exeter-born William Temple enthroned as Archbishop of Canterbury.	4072	1942 April 23
38	The Princess Elizabeth registers for war service in the U.K.	4073	1942 April 25
33	"WWII: The Reichstag meets for the last time, dissolving itself and proclaiming Adolf Hitler the ""Supreme Judge of the German People"", granting him the power of life and death over every German citizen."	4074	1942 April 26
21	WWII: A national plebiscite is held in Canada on the issue of conscription.	4075	1942 April 27
41	The Jewish Star of David is required wearing for all Jews in the Netherlands and Belgium; Jews in other Nazi-controlled countries have already been wearing it.	4076	1942 April 27
34	Operation Pluto: The plan to construct oil pipelines under the English Channel between England and France is tested in the River Medway.	4077	1942 May
1	WWII: Invasion of Tulagi by Japanese forces in the British Solomon Islands of the South Pacific as part of Operation Mo.	4078	1942 May 3???4
1	WWII: Operation Ironclad: British forces invade the French colony of Madagascar.	4079	1942 May 5
1	"WWII: On Corregidor, the last American and Filipino forces in the Philippines surrender to the Japanese under command of 2LT Robert L. Obourn (92nd Coast Artillery Regiment, G Battery) from Fort Mills, as directed by LTG Jonathan M. Wainwright, the overall commander."	4080	1942 May 7
41	"WWII:The Battle of the Kerch Peninsula: The German 11th Army begins Operation Trappenjagd (Bustard Hunt) and destroys the bridgehead of the three Soviet Armies (44th, 47th, and 51st) defending the Kerch Peninsula, in the eastern part of the Crimea."	4081	1942 May 8
1	WWII:The Battle of the Coral Sea (first battle in naval history where 2 enemy fleets fight without seeing each other's fleets) ends in an Allied victory.	4082	1942 May 8
41	WWII:The Battle of the Kerch Peninsula: German and Romanian forces launches Unternehmen Trappenjagd (Operation Busted Hunt) aiming at defeating the Soviet Crimean Front defending the Kerch Peninsula. The battle ends in Axis victory. Part of the Eastern Front.	4083	1942 May 8
41	"WWII: At night, gunners of the Ceylon Garrison Artillery on Horsburgh Island in the Cocos Islands mutiny. The mutiny is crushed and three executed (the only British Commonwealth soldiers to be executed for mutiny during the Second World War)."	4084	1942 May 8/May 9
1	"WWII:Second Battle of Kharkov: In the eastern Ukraine, the Soviet Army initiates a major offensive to capture the city of Kharkov from the German Army, only to be encircled and destroyed."	4085	1942 May 12
41	WWII:The Japanese minelayer Okinoshima is sunk by the American submarine USS S-42.	4086	1942 May 12
26	Aaron Copland's Lincoln Portrait is performed for the first time by the Cincinnati Symphony Orchestra.	4087	1942 May 14
17	"WWII: In the United States, a bill creating the Women's Auxiliary Army Corps (WAAC) is signed into law."	4088	1942 May 15
41	The first African-American seamen are taken into the United States Navy.	4089	1942 May 20
1	WWII: Mexico declares war against Nazi Germany after the sinking of the Mexican tanker Faja de Oro by German submarine U-160 off Key West.	4090	1942 May 21
41	WWII:Battle of Bir Hakeim: The Free French and British troops slow the German advance in North Africa.	4091	1942 May 26
11	WWII:Anglo-Soviet Treaty of 1942 to help establish military and political alliance between the USSR and the British Empire is signed in London by foreign Secretary Anthony Eden and by Soviet foreign minister Vyacheslav Molotov.	4092	1942 May 26
35	WWII: Operation Anthropoid: Czech paratroopers attempt to assassinate Reinhard Heydrich in Prague.	4093	1942 May 27
1	"WWII: Bombing of Cologne ??? British RAF Bomber Command's ""Operation Millennium"", its first 1,000 bomber raid, with associated fires make 13,000 families homeless and kills around 475 people, mostly civilians; 3,330 non-residential buildings are totally destroyed."	4094	1942 May 30???31
1	"WWII: Mexico declares war on Germany, Italy and Japan."	4095	1942 June 1
34	The Grand Coulee Dam is finished on the Columbia River.	4096	1942 June 1
35	WWII: Reinhard Heydrich succumbs to wounds sustained on May 27 from Czechoslovakian paratroopers acting in Operation Anthropoid.	4097	1942 June 4
1	"The United States declares war on Bulgaria, Hungary & Romania."	4098	1942 June 5
41	WWII: The Battle of Midway: The Japanese naval advance in the Pacific is halted.	4099	1942 June 4???June 7
1	WWII: Japanese forces invade the Aleutian Islands (the first invasion of American soil in 128 years).	4100	1942 June 7
41	WWII: Attack on Sydney Harbour: The Australian cities of Sydney and Newcastle are shelled by Japanese submarines. The eastern suburbs of both cities are damaged and the east coast is blacked out.	4101	1942 June 8
41	WWII:Nazis burn the Czech village of Lidice in reprisal for the killing of Reinhard Heydrich.	4102	1942 June 9
41	WWII:(12:30 a.m.) ??? B-17 Flying Fortress air crash near Auckland.	4103	1942 June 9
3	"WWII: The Gestapo massacres 173 male residents of Lidice, Czechoslovakia in retaliation for the killing of Reinhard Heydrich."	4104	1942 June 10
41	"The Holocaust: On her 13th birthday, Anne Frank makes the first entry in her new diary."	4105	1942 June 12
42	"WWII: The United States opens its Office of War Information, a propaganda center."	4106	1942 June 13
41	"WWII: The SS surrounds the church where Jan Kubi?? and Jozef Gab???_k, the assassins of Reinhard Heydrich, are hiding. Kubi?? is fatally wounded in the ensuing shootout and Gab???_k commits suicide to avoid capture."	4107	1942 June 18
20	"The experimental early type of a nuclear reactor L-IV led to an accident, becoming the first nuclear accident in history and consisting of steam explosion and reactor fire in Leipzig."	4108	1942 June 23
41	"WWII: The Germans launch Case Blue, Army Group South's drive to Stalingrad and the Baku Oil fields."	4109	1942 June 28
3	"The Holocaust: Inmates of Westerbork transit camp in the occupied Netherlands begin to be shipped to Nazi extermination camps. From now until 1944 around 107,000, mostly Jewish, from here will be killed."	4110	1942 July
41	WWII: The First Battle of El Alamein: British forces prevent a second advance by Axis forces into Egypt.	4111	1942 July 1???July 27
41	"WWII: Guadalcanal, occupied only by aborigines, falls to the Japanese Naval construction force deployed to construct an air field on the island."	4112	1942 July 3
41	WWII in the European Theater of Operations:Twenty-four ships are sunk by German bombers and submarines after Convoy PQ 17 to the Soviet Union is scattered in the Arctic Ocean to evade the German battleship Tirpitz.	4113	1942 July 4
41	"WWII in the European Theater of Operations:The United States Eighth Air Force inauspiciously flies its first mission in Europe using borrowed British planes and bombs targets in the Netherlands, such as De Kooy airfield attached to Den Helder naval base. Three of six aircraft return; For this mission, Captain Charles C. Kegelman is the first member of the Force to be awarded the U.S. Distinguished Flying Cross."	4114	1942 July 4
41	The Holocaust: Anne Frank's family goes into hiding in an attic above her father's office in an Amsterdam warehouse.	4115	1942 July 6
35	Turkish prime minister Refik Saydam dies while working in office. For one day he is succeeded by Ahmet Fikri T?_zer.	4116	1942 July 8
42	?_?_kr?_ Saraco??lu forms the new (13th) government in Turkey.	4117	1942 July 9
41	WWII: U-boats sink 3 more merchant ships in the Gulf of St. Lawrence.	4118	1942 July 13
41	WWII: Germany introduces the Ostvolk Medal for Soviet personnel in the Wehrmacht.	4119	1942 July 14
3	"The Holocaust: By order of the Vichy France government headed by Pierre Laval, French police officers round-up 13,000???20,000 Jews and imprison them in the Winter Velodrome."	4120	1942 July 16
26	Georges B??gu?? and others escape from the Mauzac prison camp.	4121	1942 July 16
19	WWII: The Germans test fly the Messerschmitt Me 262 (using only its jet engines) for the first time.	4122	1942 July 18
35	"WWII: Battle of the Atlantic: German Grand Admiral Karl D?_nitz orders the last U-boats to withdraw from their United States Atlantic coast positions, in response to an effective American convoy system."	4123	1942 July 19
41	WWII: The Japanese establish a beachhead on the north coast of New Guinea in the Buna-Gona area; a small Australian force begins a rearguard action on the Kokoda Track campaign.	4124	1942 July 21
41	The Holocaust: The systematic deportation of Jews from the Warsaw Ghetto begins.	4125	1942 July 22
3	"The Holocaust: The gas chambers at Treblinka extermination camp begin operation, killing 6,500 Jews newly arrived from the Warsaw Ghetto."	4126	1942 July 23
35	"The Presidium of the Supreme Soviet of the Soviet Union institutes the Order of Suvorov, the Order of Kutuzov, and reinstates the Order of Alexander Nevsky."	4127	1942 July 29
17	"WWII:WAVES (Women Accepted for Volunteer Emergency Service), the United States Naval Reserve (Women's Reserve), is signed into law."	4128	1942 July 30
41	WWII:SS Robert E. Lee sunk in the Gulf of Mexico by U-166 which is itself sunk by the escorting patrol craft.	4129	1942 July 30
1	WWII: Guadalcanal Campaign begins ??? The U.S. Navy and the U.S. Marine Corps begin the first American offensive of the war with an amphibious landing on the island of Guadalcanal in the Solomon Islands.	4130	1942 August 7
41	WWII: Allied North Atlantic convoy SC 94 loses ten ships as the first to be heavily attacked by U-boats resuming mid-Atlantic wolf pack attacks through the climactic winter of 1942/43.	4131	1942 August 8
41	"WWII: In Washington, D.C., six German saboteurs are executed for their role in a failed mission of Operation Pastorius. (Two others are cooperative and receive sentences of life imprisonment instead, being freed a few years after the end of the war.)"	4132	1942 August 8
35	"Indian leader, Mohandas Gandhi is arrested in Bombay by British forces."	4133	1942 August 9
41	"Start, led by the goalkeeper Nikolai Trusevich, play football against the German Luftwaffe team Flakelf in Nazi-occupied Kiev. Against all odds, they win 5???3. Eight of them are later arrested and tortured, and at least four are killed."	4134	1942 August 9
35	Leningrad premi??re of Shostakovich's Symphony No. 7 with the city still under siege.	4135	1942 August 9
33	"Quit India resolution is passed by the Bombay session of the All India Congress Committee (AICC), which leads to the start of a historical civil disobedience movement across India."	4136	1942 August 13
41	WWII: The American tanker Ohio reaches Malta as part of the convoy of Operation Pedestal.	4137	1942 August 15
3	Polish-Jewish teacher Janusz Korczak follows a group of Jewish children into the Treblinka extermination camp.	4138	1942 August 16
20	"U.S. Navy blimp L-8 (Flight 101) comes ashore near San Francisco, eventually coming down in Daly City (the crew is missing)."	4139	1942 August 16
41	WWII: First raid by heavy bombers of U.S. Eighth Air Force based in England against occupied France.	4140	1942 August 17
1	"WWII: Dieppe Raid: Allied forces raid Dieppe, France."	4141	1942 August 19
19	Plutonium is isolated for the first time at the Metallurgical Laboratory of the University of Chicago.	4142	1942 August 20
1	WWII: Battle of the Tenaru: Allies defeat Japanese land forces on Guadalcanal.	4143	1942 August 21
1	WWII: Brazil declares war on Germany and Italy.	4144	1942 August 22
41	WWII: Battle of Stalingrad begins: German troops reach the suburbs of Stalingrad.	4145	1942 August 23
41	"WWII: Charge of the Savoia Cavalleria at Isbuscenskij: An Italian cavalry regiment attacks Soviet forces with drawn sabres at Isbuscenskij in Russia, one of the last major cavalry charges."	4146	1942 August 24
41	WWII: Allied North Atlantic convoy ON 122 is attacked by U-boats which sink four ships.	4147	1942 August 24
41	"WWII: 2-day Battle of the Eastern Solomons opens: Bombers from carrier USS Saratoga sink Japanese aircraft carrier Ry??j?? near Santa Isabel Island, helping to lead to an Allied victory."	4148	1942 August 24
27	Walt Disney's live-action animated film Saludos Amigos has its world premiere in Rio de Janeiro.	4149	1942 August 24
4	WWII: Battle of Milne Bay opens when Japanese marines land at Milne Bay.	4150	1942 August 25
38	"Prince George, Duke of Kent, brother to King George VI and King Edward VIII, dies in a flying accident over Morven in Scotland at the age of 39."	4151	1942 August 25
3	"Sarny Massacre: Nazi troops and the Ukrainian Auxiliary Police systematically execute more than 14,000 people, mostly Jews, in and around Sarny in German-occupied Poland."	4152	1942 August 27???28
31	Luxembourg is formally annexed to the German Reich.	4153	1942 August 30
41	WWII: Battle of Alam el Halfa ??? British forces in the Western Desert resist German attack.	4154	1942 August 30???September 5
41	"The island of Les Casquets in the Channel Islands is raided by the forerunner of the British SAS, the SSRF, led by Major Gus March-Phillipps; this is one of the first raids by Anders Lassen VC. In the raid the entire garrison of 7 is abducted and returned to England as prisoners and the radio and lighthouse wrecked."	4155	1942 September 2
2	"The Holocaust: A German attempt to liquidate the Jewish ??achwa Ghetto in occupied Poland leads to an uprising, probably the first ghetto uprising of the war."	4156	1942 September 3
1	WWII: Battle of Milne Bay: Japanese forces suffer their first defeat on land.	4157	1942 September 5
41	The Holocaust: The Jews of Wolbrom in occupied Poland are rounded up by the Germans and their Ukrainian collaborators. What was once a flourishing community suddenly ceases to exist.	4158	1942 September 5
1	"WWII: A Japanese floatplane drops incendiary devices at Mount Emily, near Brookings, Oregon, in the first of two ""Lookout Air Raids"", the first bombing of the continental United States."	4159	1942 September 9
41	"WWII: North Atlantic convoy ON 127 is attacked by U-boats, sinking six ships."	4160	1942 September 10
42	Women's Auxiliary Ferrying Squadron (WAFS) begins operation in the United States.	4161	1942 September 10
41	"The RMS Laconia, carrying civilians, Allied soldiers and Italian Prisoners of War, is torpedoed off the coast of West Africa and sinks, killing 1,649 people."	4162	1942 September 12
42	Women's Flying Training Detachment (WFTD) established in the United States.	4163	1942 September 15
41	WWII: Andr??e Borrel and Lise de Baissac become the first female SOE agents to be parachuted into occupied France.	4164	1942 September 24
35	"The Holocaust: Nazi official August Frank issues the August Frank memorandum setting out how the belongings of ""evacuated"" (i.e. murdered) Jews are to be disposed of."	4165	1942 September 26
41	WWII: Both commerce raiding German auxiliary cruiser Stier and American Liberty ship SS Stephen Hopkins sink following a gun battle in the South Atlantic. Hilfskreuzer Stier is the only commerce raider to be sunk by a defensively equipped merchant ship.	4166	1942 September 27
20	The British cruiser HMS Curacoa collides with the liner RMS Queen Mary (carrying troops from the United States) off the coast of Donegal and sinks; 338 drown.	4167	1942 October 2
19	"The first A-4 rocket is successfully launched from Test Stand VII at Peenem?_nde, Germany. The rocket flies 147 kilometres wide and reaches a height of 84.5 kilometres, becoming the first man-made object to reach space."	4168	1942 October 3
1	WWII: Third Battle of the Matanikau on Guadalcanal: American forces defeat the Japanese.	4169	1942 October 9
17	The Statute of Westminster Adoption Act passed by the Parliament of Australia formalizes Australian autonomy from the United Kingdom.	4170	1942 October 9
41	"WWII: Battle of Cape Esperance: On the northwest coast of Guadalcanal, United States Navy ships intercept and defeat a Japanese fleet on their way to reinforce troops on the island."	4171	1942 October 11
41	WWII: North Atlantic convoy SC 104 is attacked by U-boats sinking seven ships.	4172	1942 October 13
22	"The Holocaust: The International Committee of the Red Cross, meeting in special session at the Hotel M??tropole, Geneva, Switzerland, declines to issue an international appeal condemning the holding of civilians in Nazi concentration camps."	4173	1942 October 14
41	"WWII: A U-boat sinks the ferry SS Caribou off Newfoundland, killing 137."	4174	1942 October 14
4	"A hurricane and flood in Bengal kill 40,000."	4175	1942 October 16
26	The Mouse of Tomorrow featuring the debut of Mighty Mouse is released.	4176	1942 October 16
35	"WWII: Hitler issues Commando Order which stipulates that all Allied commandos encountered by German forces should be executed immediately without trial, even in proper uniforms, in response to the Dieppe Raid and Operation Basalt conducted by the Allies. After the war, the Nuremberg trials found this order a direct violation of the laws and customs of war."	4177	1942 October 18
41	A Royal New Zealand Air Force Torpedo Bomber sinks the German MS Palatia (1928) with a loss of 946 people.	4178	1942 October 21
20	"Award-winning composer and songwriter Ralph Rainger (""Thanks for the Memory"") is among 12 people killed in the mid-air collision between an American Airlines DC-3 airliner and a U.S. Army bomber near Palm Springs, California."	4179	1942 October 23
41	WWII: Battle for Henderson Field: Japanese forces fail to recapture Henderson Field airfield in Guadalcanal from the Americans.	4180	1942 October 23???26
1	WWII: Second Battle of El Alamein: British troops go on the offensive against the Axis forces.	4181	1942 October 23???November 4
41	WWII: Battle of the Santa Cruz Islands: Two Japanese aircraft carriers are heavily damaged and one U.S. Navy carrier is sunk.	4182	1942 October 26
26	Film actor Errol Flynn is accused of statutory rape by two teenage girls.	4183	1942 October 28
34	The Alaska Highway is completed.	4184	1942 October 28
33	"The Holocaust: In the United Kingdom, leading clergymen and political figures hold a public meeting to register outrage over Nazi Germany's persecution of Jews."	4185	1942 October 29
41	"WWII:U-boats sink eleven ships attacking diversionary convoy SL 125, but move out of the path of approaching troopships carrying Allied Operation Torch invasion forces."	4186	1942 October 30
41	WWII:British sailors board U-559 as it sinks in the Mediterranean and retrieve its Enigma machine and codebooks.	4187	1942 October 30
41	WWII: North Atlantic convoy SC 107 is heavily attacked by U-boats sinking fifteen ships.	4188	1942 November 1
41	"A USAAF squadron, including B-24 Liberators, intercepts many Luftwaffe patrols off the coast of Oran, Algeria."	4189	1942 November 2
41	WWII: Second Battle of El Alamein: German forces under Erwin Rommel are forced to retreat during the night.	4190	1942 November 3
1	WWII:Operation Torch: United States and United Kingdom forces land in French North Africa.	4191	1942 November 8
2	"WWII:French Resistance Coup in Algiers: 400 French civil resisters neutralize the Vichyist XIXth Army Corps and the Vichyist generals (Juin, Darlan, etc.) thus allowing the immediate success of Operation Torch in Algiers, and ultimately the whole of French North Africa."	4192	1942 November 8
35	"WWII: U.S. serviceman Edward Leonski is hanged at Melbourne's Pentridge Prison for the ""Brown-Out"" murders of three women in May."	4193	1942 November 9
18	"WWII: In violation of a 1940 armistice, Germany invades Vichy France, following French Admiral Fran?_ois Darlan's agreement to an armistice with the Allies in North Africa."	4194	1942 November 10
1	WWII: Guadalcanal Campaign: A naval battle near Guadalcanal starts between Japanese and American forces.	4195	1942 November 12
41	WWII:Guadalcanal Campaign: Aviators from the USS Enterprise sink the Japanese battleship Hiei.	4196	1942 November 13
1	WWII:British forces capture Tobruk.	4197	1942 November 13
41	"WWII:The Naval Battle of Guadalcanal ends: Although the United States Navy suffers heavy losses, it retains control of Guadalcanal."	4198	1942 November 15
41	"WWII:A BOAC scheduled passenger flight, a DC-3 with registration G-AGBB, (formerly KLM PH-ALI, Ibis), en route between Lisbon and Bristol, is attacked over the Bay of Biscay by German fighters. Although damaged, it escapes and lands in England. Other attacks follow on the same aircraft and scheduled route: April 19 and June 1, 1943 (fatal)."	4199	1942 November 15
1	"WWII:British forces capture Derna, Libya."	4200	1942 November 15
41	WWII: North Atlantic convoy ON 144 is attacked by U-boats sinking five ships.	4201	1942 November 18
1	"WWII: Battle of Stalingrad: Soviet Union forces under General Georgy Zhukov launch the Operation Uranus counter-attacks at Stalingrad, turning the tide of the battle in the USSR's favor."	4202	1942 November 19
1	WWII: British forces capture Benghazi.	4203	1942 November 20
34	"The completion of the Alaska Highway (also known as the Alcan Highway) is celebrated (however, the ""highway"" is not usable by general vehicles until 1943)."	4204	1942 November 21
41	"WWII: Battle of Stalingrad: The situation for the German attackers of Stalingrad seems desperate during the Soviet counter-attack Operation Uranus, and General Friedrich Paulus sends Adolf Hitler a telegram saying that the German Sixth Army is surrounded."	4205	1942 November 22
41	"WWIIA U-boat sinks the SS Ben Lomond off the coast of Brazil. One crewman, Chinese second steward Poon Lim, is separated from the others and spends 130 days adrift until he is rescued on April 3, 1943."	4206	1942 November 23
18	"WWIILegislation approves the United States Coast Guard Women's Reserve to help fill jobs and free men to serve during the war effort. They are known as the SPARS (""Semper Paratus, Always Ready!"")"	4207	1942 November 23
